Date,open_rel,high_rel,low_rel,close_rel,open,high,low,close,daisy_chained_open_rel,daisy_chained_high_rel,daisy_chained_low_rel,daisy_chained_close_rel,daisy_chained_open,daisy_chained_high,daisy_chained_low,daisy_chained_close
2022-12-20,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3828.617414671309,3848.1981344679075,3805.903670712754,3827.880487374456,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3824.650163881827,3844.210593945173,3801.9599561267873,3823.914000196243
2022-12-21,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3885.5414525143237,3905.413299241084,3862.4899996962477,3884.7935685527564,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3826.050756466614,3845.618349588574,3803.352239523709,3825.314323196792
2022-12-22,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3829.388824547041,3848.9734895695506,3806.6705041044697,3828.6517487702195,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3827.4513490514014,3847.026105231975,3804.744522920632,3826.7146461973416
2022-12-23,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3851.859894044029,3871.5594829849388,3829.0082612163983,3851.118493064998,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3828.8519416361883,3848.433860875376,3806.1368063175537,3828.1149691978903
2022-12-27,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3836.2613852581126,3855.881198656914,3813.5022925033923,3835.5229866597506,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3830.2525342209756,3849.8416165187773,3807.5290897144764,3829.51529219844
2022-12-28,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3790.147103985427,3809.5310748535117,3767.6615898791365,3789.4175814039045,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3831.6531268057624,3851.249372162178,3808.921373111398,3830.915615198989
2022-12-29,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3856.3280603372327,3876.0505008464024,3833.4499195632197,3855.5857993313693,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3833.0562838859996,3852.659705416643,3810.316205789586,3832.3185022013777
2022-12-30,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3846.530153084422,3866.2024841008606,3823.7101396009075,3845.7897779669943,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3834.4594409662363,3854.0700386711073,3811.711038467773,3833.7213892037657
2023-01-03,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3831.1420288100694,3850.735660255102,3808.4133072674604,3830.4046155787732,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3835.8625980464735,3855.4803719255724,3813.1058711459605,3835.1242762061547
2023-01-04,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3860.024816754704,3879.766163606223,3837.1247445183244,3859.2818442019766,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3837.2657551267102,3856.8907051800365,3814.5007038241474,3836.527163208543
2023-01-05,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3815.0726594506546,3834.5841072286726,3792.4392714192513,3814.3383392306578,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3838.6689122069474,3858.3010384345016,3815.895536502335,3837.9300502109313
2023-01-06,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3902.2119204782057,3922.169025073989,3879.061568057482,3901.460827806662,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3840.0746384782447,3859.713954019655,3817.29292312954,3839.335505909866
2023-01-09,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3899.216445765946,3919.158230588389,3876.083864367573,3898.465929659476,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3841.480364749542,3861.1268696048082,3818.6903097567456,3840.7409616088
2023-01-10,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3926.4261759281476,3946.507119628154,3903.1321694571834,3925.6704225282306,1.0018310074448293,1.0069546774582265,0.9958875217087921,1.001638176316446,3842.8860910208386,3862.539785189961,3820.087696383951,3842.1464173077334
